,sent_idx,tok,m_tag,k_tag
0,1,中國,ns,n
1,1,革命,n,v
2,1,冊,q,n
3,1,一九一一年,nt,m
4,1,自由社,ni,v
5,1,編印,v,n
6,1,記載,v,n
7,1,﹕,w,n
8,1,十四日,nt,m
9,1,為,p,n
10,1,佔領,v,n
11,1,﹐,w,n
12,1,紹興府,ns,n
13,2,剛剛,nt,v
14,2,蹌踉,v,n
15,2,﹐,w,n
16,2,用,v,p
17,2,整,b,a
18,2,跟,v,c
19,2,著,u,v
20,2,闔,v,n
21,2,﹐,w,n
22,2,其餘,r,n
23,2,面,q,n
24,2,是,v,vl
25,2,﹐,w,n
26,2,仔細,d,n
27,2,時,nt,n
28,2,﹐,w,n
29,2,還,d,n
30,2,兩,m,n
31,2,個,q,v
32,3,說,v,n
33,3,是,v,vl
34,3,﹐,w,n
35,3,在,v,p
36,3,﹖,w,n
37,3,﹐,w,n
38,3,決,d,v
39,3,是,v,vl
40,4,﹐,w,n
41,4,獨,d,n
42,4,和,p,c
43,4,別人,r,n
44,4,口角,v,n
45,4,時候,nt,n
46,4,﹐,w,n
47,4,間或,d,v
48,4,著,u,v
49,4,﹕,w,v
50,4,──,w,v
51,4,闊,a,v
52,4,多,d,a
53,5,這,r,n
54,5,卻,d,n
55,5,百里聞名,i,n
56,5,這樣,r,n
57,5,怕,a,v
58,5,﹐,w,v
59,5,於是,c,v
60,5,有些,d,m
61,5,﹐,w,n
62,5,況且,c,n
63,5,未莊,ns,v
64,5,﹐,w,n
65,5,快意,a,n
66,6,其中,r,nd
67,6,自然,d,a
68,6,可以,v,vu
69,6,勉力,d,v
70,6,如,p,v
71,6,子路,nh,n
72,6,黃香,nh,v
73,6,扇,v,n
74,6,之類,n,r
75,7,活,a,v
76,7,大,d,a
77,7,冠冕,a,n
78,7,下去,nd,v
79,7,這裏,r,v
80,7,下,v,nd
81,7,個,q,n
82,8,個,q,n
83,8,是,v,vl
84,8,是,v,vl
85,8,有些,d,m
86,8,樣,k,n
87,8,無常嫂,nh,v
88,8,這樣,r,n
89,8,無常,nh,n
90,8,是,v,vl
91,8,和,p,c
92,8,無怪,d,v
93,9,城隍廟,ni,n
94,9,東嶽廟,ni,n
95,9,後面,nd,n
96,9,間,q,n
97,9,作,p,v
98,9,陰司間,ns,n
99,9,才可,d,n
100,9,昏暗,n,a
101,9,著,u,v
102,9,各種,r,n
103,9,吊,d,v
104,9,跌,d,v
105,9,進,v,n
106,9,門口,nl,n
107,9,長,a,n
108,9,是,v,vl
109,10,出,v,vd
110,10,來,d,n
111,10,還,d,n
112,10,不過,d,v
113,10,拋臉,v,n
114,10,臥冰求鯉,i,n
115,10,虞,n,v
116,11,,m,n
117,11,古久先生,nh,n
118,11,陳年,a,n
119,11,這裡,r,v
120,11,國,n,v
121,11,長久,a,n
122,12,是,v,vl
123,12,師生,n,v
124,12,各不相識,i,n
125,12,成,d,v
126,12,不肯,v,vu
127,12,過,d,n
128,12,這,r,n
129,12,步,q,n
130,13,履歷,n,v
131,13,當初,n,v
132,13,雖然,c,n
133,13,現在,nt,v
134,13,明白,v,a
135,13,難,d,n
136,13,見,v,n
137,14,這,r,n
138,14,是,v,vl
139,14,敢,v,vu
140,14,直截,d,v
141,14,下手,v,n
142,14,要,v,vu
143,14,死,d,v
144,15,——,w,n
145,15,給,u,n
146,15,過,u,n
147,15,給,u,n
148,15,紳士,n,v
149,15,掌,v,n
150,15,過,u,v
151,15,被,u,p
152,15,債主,n,v
153,15,死,d,v
154,15,時候,nt,n
155,15,全,d,a
156,15,沒有,d,n
157,15,這麼,r,v
158,15,怕,a,v
159,15,沒有,d,v
160,15,這麼,r,v
161,16,以赛亚,nz,nd
162,16,章,q,n
163,16,深,d,a
164,16,在,v,p
165,16,华,j,ns
166,16,有一天,nt,v
167,16,要,v,vu
168,16,冷淡,n,a
169,16,跌倒,n,v
170,16,不敢,v,vu
171,16,经过,v,p
172,16,后,nl,nd
173,16,方,d,n
174,17,金笔,nh,n
175,17,肯,v,vu
176,17,大,d,a
177,18,最初,n,nt
178,18,荣耀,n,a
179,18,多,d,a
180,18,将,p,d
181,18,荣耀,n,a
182,18,反,d,v
183,18,是,v,vl
184,19,三日,nt,n
185,19,锦华,nh,n
186,19,厉害,d,a
187,19,回,nd,v
188,19,同,b,p
189,19,来,v,vd
190,19,在,v,p
191,19,一个,m,mq
192,19,将近,d,v
193,20,温岭,ns,n
194,20,会,n,vu
195,20,后,k,nd
196,20,峄县,ns,n
197,20,要,v,vu
198,20,北方,nl,nd
199,20,等,k,u
200,20,信,n,v
201,20,峄县,ns,n
202,20,领会,n,v
203,20,邀请,n,v
204,21,使勁,d,n
205,21,著,u,v
206,21,還,d,v
207,21,沒有,d,n
208,21,一樣,a,i
209,21,起來,d,v
210,22,這,r,n
211,22,回,q,v
212,22,沒有,v,n
213,22,這個,r,n
214,22,決,d,v
215,22,不,v,d
216,22,這個,r,n
217,23,們,k,v
218,23,最初,n,nt
219,23,是,v,vl
220,23,著,u,v
221,23,著,u,v
222,23,要,v,vu
223,23,著,u,v
224,23,乾癟,a,n
225,23,起來,d,v
226,24,只有,v,c
227,24,出來,nd,v
228,24,當兵,v,n
229,24,唯一,b,a
230,24,是,u,vl
231,24,要,v,vu
232,24,個把,m,n
233,24,大小,a,n
234,24,回去,v,vd
235,24,吐氣揚眉,i,v
236,25,當,p,n
237,25,一層層,d,i
238,25,不住,d,v
239,25,，,u,w
240,25,差不多,d,a
241,25,把,v,p
242,25,整個,a,v
243,25,起來,d,v
244,26,賈母,nh,n
245,26,說,d,v
246,26,是,v,vl
247,26,紅,a,n
248,26,著,u,v
249,26,是,v,vl
250,27,紫鵑,nh,n
251,27,著,u,v
252,27,命,v,n
253,27,們,nl,n
254,27,將,p,n
255,27,這,r,n
256,27,出,nd,vd
257,27,与,v,c
258,27,去,nd,v
259,27,有人,n,r
260,27,好,d,a
261,27,与,v,c
262,27,去,nd,v
263,28,平儿,nh,nhs
264,28,笑,d,v
265,28,已經,d,v
266,28,璉二爺,nh,v
267,28,大老爺,nh,n
268,28,不好,d,a
269,29,衙門,ni,n
270,29,明,d,nt
271,29,是,v,vl
272,29,敢,v,vu
273,29,要,v,vu
274,29,錢,n,v
275,29,這,r,v
276,29,難,d,n
277,29,心里,n,nl
278,29,愿意,v,vu
279,30,只見,v,d
280,30,個,q,n
281,30,貼己,a,n
282,30,來,nd,n
283,30,走,d,v
284,30,里間,n,nl
285,31,這,r,n
286,31,西門慶,nh,n
287,31,心中,n,nl
288,31,大,d,a
289,31,孫雪娥,nh,n
290,31,一頓,m,n
291,31,月娘,nh,n
292,31,頭面,n,v
293,31,著,u,v
294,31,上竈,v,n
295,32,其餘,r,n
296,32,兩,q,n
297,32,陳敬濟,nh,n
298,32,著,u,v
299,32,兩,q,n
300,32,還,d,n
301,32,差,v,a
302,33,這,r,v
303,33,前後,n,nt
304,33,整整齊齊,a,v
305,33,來,v,n
306,33,咳嗽,n,v
307,33,為,v,n
308,33,叫,d,v
309,33,連日,d,n
310,34,過來,d,n
311,34,小的,r,n
312,34,敢,v,vu
313,34,這個,r,n
314,34,可,d,vu
315,34,是,v,vl
316,34,使不的,a,n
317,35,大,d,a
318,35,喜,d,v
319,35,雖然,c,n
320,35,上,v,nd
321,35,得,u,vu
322,35,凌煙閣,ns,v
323,35,乾娘,nh,v
324,35,這,r,v
325,35,條,q,n
326,35,絕品,a,n
327,36,將,p,n
328,36,大小,b,n
329,36,起,d,v
330,36,出,d,vd
331,36,個,q,n
332,36,有能,a,v
333,36,各,d,r
334,36,執,v,n
335,37,行者,nh,n
336,37,奪,v,n
337,37,過,d,v
338,37,來,d,n
339,37,個,q,n
340,37,黃,a,n
341,37,來,d,n
342,37,手中,n,nl
343,37,到,p,v
344,37,著,u,v
345,37,這,r,n
346,37,是,v,vl
347,37,楊老兒,nh,n
348,37,老孫,nh,n
349,37,將,v,n
350,37,來,v,n
351,37,也,u,d
352,38,煩,v,nhf
353,38,將,p,v
354,38,這裏,r,n
355,38,好,v,a
356,38,細,d,v
357,38,足,d,a
358,39,猴王,nh,n
359,39,將,p,v
360,39,縱,v,n
361,39,起,d,v
362,39,下,nd,v
363,39,觀看,v,n
364,39,是,v,vl
365,39,險峻,a,n
366,40,東土大唐,ns,n
367,40,遠,d,n
368,40,個,q,n
369,40,孫長老,nh,n
370,40,現在,nt,n
371,40,內,nd,n
372,40,要,v,vu
373,40,王,n,nhf
374,40,親自,d,n
375,40,手到病除,i,n
376,41,言,n,v
377,41,畢,v,n
378,41,著,u,v
379,41,這些,r,n
380,41,無,v,n
381,41,考究,n,a
382,41,半截,m,q
383,41,跟,v,c
384,41,著,u,v
385,42,玉狐,nh,nhs
386,42,親切,d,n
387,42,含笑,d,v
388,42,答,d,v
389,42,萍水相逢,i,nhs
390,42,敢,v,vu
391,43,苦,d,a
392,43,煉,v,n
393,43,向,v,p
394,43,善,n,a
395,43,可,v,vu
396,44,妥,d,a
397,44,胡小姐,nh,n
398,44,那等,d,r
399,44,真,d,a
400,44,生來,a,n
401,44,為,v,n
402,44,整,b,a
403,44,注,q,v
404,44,不足,d,a
405,44,比喻,v,n
406,45,況,c,n
407,45,與,p,v
408,45,玉狐,nh,n
409,45,幻術,n,v
410,45,攏住,v,n
411,45,莫說,c,nh
412,45,即,c,d
413,45,是,v,vl
414,45,個,q,v
415,45,此等,n,r
416,45,美貌,n,a
417,45,多情,n,a
418,46,著,u,v
419,46,個,q,n
420,46,艙,n,v
421,46,方方,a,nh
422,46,來,u,n
423,46,大,n,a
424,46,兩,m,n
425,46,面,q,n
426,46,排,q,n
427,46,扇,q,n
428,46,為,v,a
429,46,整齊,a,v
430,46,潔淨,a,n
431,46,裏面,nd,v
432,46,個,q,n
433,47,一日,m,i
434,47,薩克森船,nz,n
435,47,將,d,ns
436,47,近,v,a
437,47,曉色,n,v
438,47,蒼然,a,n
439,48,伯黻,nh,n
440,48,這,r,v
441,48,笑庵,nh,v
442,48,和,p,c
443,48,全,d,a
444,48,小玉,nh,nhs
445,48,小玉,nh,nhs
446,48,得了,u,v
447,49,況且,c,n
448,49,加克奈夫,nh,v
449,49,是,v,vl
450,49,素來,d,n
451,49,起,d,v
452,49,還,d,v
453,50,子固,nh,nhs
454,50,這,r,n
455,50,身上,n,nl
456,50,和,p,c
457,50,敢,v,vu
